CompanyID,CompanyName,UserEmail,Website,Description,ContactPerson,ContactPhone,Address
09489f1f-6731-478d-b529-7cb7d2b1ccb6,TechNova Solutions 1,contact1@technova1.com,https://www.technova1.com,TechNova Solutions 1 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 1,+1-202-555-1001,"1 Innovation Park, Silicon Valley, CA, USA"
050a6dc6-dad6-4e99-9d93-6f435b92a4ac,TechNova Solutions 2,contact2@technova2.com,https://www.technova2.com,TechNova Solutions 2 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 2,+1-202-555-1002,"2 Innovation Park, Silicon Valley, CA, USA"
0da1c49f-64e4-4ae1-8e8c-ca8c05b3390d,TechNova Solutions 3,contact3@technova3.com,https://www.technova3.com,TechNova Solutions 3 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 3,+1-202-555-1003,"3 Innovation Park, Silicon Valley, CA, USA"
6626a915-a5b2-4bb3-b9ef-145f255ad139,TechNova Solutions 4,contact4@technova4.com,https://www.technova4.com,TechNova Solutions 4 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 4,+1-202-555-1004,"4 Innovation Park, Silicon Valley, CA, USA"
b8e947f7-041a-40c7-953c-4d76bfdfc6d4,TechNova Solutions 5,contact5@technova5.com,https://www.technova5.com,TechNova Solutions 5 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 5,+1-202-555-1005,"5 Innovation Park, Silicon Valley, CA, USA"
e4376ff5-3881-46b6-afff-824af2d755ef,TechNova Solutions 6,contact6@technova6.com,https://www.technova6.com,TechNova Solutions 6 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 6,+1-202-555-1006,"6 Innovation Park, Silicon Valley, CA, USA"
85f99ba2-ea45-4df0-ac44-3989c3f24167,TechNova Solutions 7,contact7@technova7.com,https://www.technova7.com,TechNova Solutions 7 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 7,+1-202-555-1007,"7 Innovation Park, Silicon Valley, CA, USA"
b7cca505-70ab-4c16-80a9-d0242ee976b1,TechNova Solutions 8,contact8@technova8.com,https://www.technova8.com,TechNova Solutions 8 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 8,+1-202-555-1008,"8 Innovation Park, Silicon Valley, CA, USA"
6e74b51a-02ae-460c-a3a1-b57beeb69d12,TechNova Solutions 9,contact9@technova9.com,https://www.technova9.com,TechNova Solutions 9 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 9,+1-202-555-1009,"9 Innovation Park, Silicon Valley, CA, USA"
81646ee8-1f4c-4215-8805-c2a16a267dd6,TechNova Solutions 10,contact10@technova10.com,https://www.technova10.com,TechNova Solutions 10 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 10,+1-202-555-1010,"10 Innovation Park, Silicon Valley, CA, USA"
745e1423-2e41-4fb1-98db-148ffabbf5da,TechNova Solutions 11,contact11@technova11.com,https://www.technova11.com,TechNova Solutions 11 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 11,+1-202-555-1011,"11 Innovation Park, Silicon Valley, CA, USA"
1a181b1a-8959-4f18-9daf-8d1d4825367f,TechNova Solutions 12,contact12@technova12.com,https://www.technova12.com,TechNova Solutions 12 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 12,+1-202-555-1012,"12 Innovation Park, Silicon Valley, CA, USA"
969cb825-c593-4744-8a0e-62db322d172d,TechNova Solutions 13,contact13@technova13.com,https://www.technova13.com,TechNova Solutions 13 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 13,+1-202-555-1013,"13 Innovation Park, Silicon Valley, CA, USA"
ca66b429-fb8e-4686-81f5-2b8e3e673254,TechNova Solutions 14,contact14@technova14.com,https://www.technova14.com,TechNova Solutions 14 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 14,+1-202-555-1014,"14 Innovation Park, Silicon Valley, CA, USA"
6c04d5d6-7c72-4ca5-88c7-fa977a29277d,TechNova Solutions 15,contact15@technova15.com,https://www.technova15.com,TechNova Solutions 15 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 15,+1-202-555-1015,"15 Innovation Park, Silicon Valley, CA, USA"
190b903b-600a-487b-bf92-665b3f76fd4e,TechNova Solutions 16,contact16@technova16.com,https://www.technova16.com,TechNova Solutions 16 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 16,+1-202-555-1016,"16 Innovation Park, Silicon Valley, CA, USA"
4b9efca0-0afc-40f4-ae88-256cee0d8c9f,TechNova Solutions 17,contact17@technova17.com,https://www.technova17.com,TechNova Solutions 17 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 17,+1-202-555-1017,"17 Innovation Park, Silicon Valley, CA, USA"
c58d2449-dc9b-4892-9dfd-0378ea87284e,TechNova Solutions 18,contact18@technova18.com,https://www.technova18.com,TechNova Solutions 18 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 18,+1-202-555-1018,"18 Innovation Park, Silicon Valley, CA, USA"
60c6586e-3c17-42ba-93ac-1253c4b4f502,TechNova Solutions 19,contact19@technova19.com,https://www.technova19.com,TechNova Solutions 19 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 19,+1-202-555-1019,"19 Innovation Park, Silicon Valley, CA, USA"
2d058a42-56c1-4fb4-8852-4bf7e093465f,TechNova Solutions 20,contact20@technova20.com,https://www.technova20.com,TechNova Solutions 20 is a leading innovator in cloud computing and AI-driven software solutions.,John Doe 20,+1-202-555-1020,"20 Innovation Park, Silicon Valley, CA, USA"
